Country,Year,Bronze,Silver,Gold
Australia,Total,3,1,5
Australia,1994,1,0,0
Australia,1998,1,0,0
Australia,2002,0,0,2
Australia,2006,1,0,1
Australia,2010,0,1,2
Austria,Total,76,69,55
Austria,1924,0,1,2
Austria,1928,1,3,0
Austria,1932,0,1,1
Austria,1936,2,1,1
Austria,1948,4,3,1
Austria,1952,2,4,2
Austria,1956,4,3,4
Austria,1960,3,2,1
Austria,1964,3,5,4
Austria,1968,4,4,3
Austria,1972,2,2,1
Austria,1976,2,2,2
Austria,1980,2,2,3
Austria,1984,1,0,0
Austria,1988,2,5,3
Austria,1992,8,7,6
Austria,1994,4,3,2
Austria,1998,9,5,3
Austria,2002,10,4,3
Austria,2006,7,7,9
Austria,2010,6,5,4
Belarus,Total,5,3,1
Belarus,1994,0,2,0
Belarus,1998,2,0,0
Belarus,2002,1,0,0
Belarus,2006,0,1,0
Belarus,2010,2,0,1
Belgium,Total,3,1,1
Belgium,1924,1,0,0
Belgium,1928,1,0,0
Belgium,1948,0,1,1
Belgium,1998,1,0,0
Bulgaria,Total,3,2,1
Bulgaria,1980,1,0,0
Bulgaria,1998,0,0,1
Bulgaria,2002,2,1,0
Bulgaria,2006,0,1,0
Canada,Total,48,45,52
Canada,1924,0,0,1
Canada,1928,0,0,1
Canada,1932,5,1,1
Canada,1936,0,1,0
Canada,1948,1,0,2
Canada,1952,1,0,1
Canada,1956,2,1,0
Canada,1960,1,1,2
Canada,1964,2,0,1
Canada,1968,1,1,1
Canada,1972,0,1,0
Canada,1976,1,1,1
Canada,1980,1,1,0
Canada,1984,1,1,2
Canada,1988,3,2,0
Canada,1992,2,3,2
Canada,1994,4,6,3
Canada,1998,4,5,6
Canada,2002,7,3,7
Canada,2006,7,10,7
Canada,2010,5,7,14
Canada,Total,17,18,9
Canada,1992,0,3,0
Canada,1994,2,1,0
Canada,1998,2,6,0
Canada,2002,4,2,2
Canada,2006,5,4,2
Canada,2010,4,2,5
Croatia,Total,1,5,4
Croatia,2002,0,1,3
Croatia,2006,0,2,1
Croatia,2010,1,2,0
Czech Republic,Total,6,5,5
Czech Republic,1998,1,1,1
Czech Republic,2002,0,2,1
Czech Republic,2006,1,2,1
Czech Republic,2010,4,0,2
Czechoslovakia,Total,15,8,2
Czechoslovakia,1928,1,0,0
Czechoslovakia,1948,0,1,0
Czechoslovakia,1960,0,1,0
Czechoslovakia,1964,1,0,0
Czechoslovakia,1968,1,2,1
Czechoslovakia,1972,2,0,1
Czechoslovakia,1976,0,1,0
Czechoslovakia,1980,1,0,0
Czechoslovakia,1984,4,2,0
Czechoslovakia,1988,2,1,0
Czechoslovakia,1992,3,0,0
Denmark,Total,0,1,0
Denmark,1998,0,1,0
East Germany,Total,35,36,39
East Germany,1968,2,2,1
East Germany,1972,7,3,4
East Germany,1976,7,5,7
East Germany,1980,7,7,9
East Germany,1984,6,9,9
East Germany,1988,6,10,9
Estonia,Total,1,2,4
Estonia,2002,1,1,1
Estonia,2006,0,0,3
Estonia,2010,0,1,0
Finland,Total,56,59,41
Finland,1924,3,4,4
Finland,1928,1,1,2
Finland,1932,1,1,1
Finland,1936,3,2,1
Finland,1948,2,3,1
Finland,1952,2,4,3
Finland,1956,1,3,3
Finland,1960,3,3,2
Finland,1964,3,4,3
Finland,1968,2,2,1
Finland,1972,1,4,0
Finland,1976,1,4,2
Finland,1980,3,5,1
Finland,1984,6,3,4
Finland,1988,2,1,4
Finland,1992,3,1,3
Finland,1994,5,1,0
Finland,1998,6,4,2
Finland,2002,1,2,4
Finland,2006,3,6,0
Finland,2010,4,1,0
France,Total,40,27,27
France,1924,3,0,0
France,1928,0,0,1
France,1932,0,0,1
France,1936,1,0,0
France,1948,2,1,2
France,1952,1,0,0
France,1960,2,0,1
France,1964,0,4,3
France,1968,2,3,4
France,1972,2,1,0
France,1976,1,0,0
France,1980,1,0,0
France,1984,2,1,0
France,1988,1,0,1
France,1992,1,5,3
France,1994,4,1,0
France,1998,5,1,2
France,2002,2,5,4
France,2006,4,2,3
France,2010,6,3,2
Germany,Total,47,72,67
Germany,1928,1,0,0
Germany,1932,2,0,0
Germany,1936,0,3,3
Germany,1952,2,2,1
Germany,1992,6,10,10
Germany,1994,8,7,9
Germany,1998,8,9,12
Germany,2002,8,16,12
Germany,2006,6,12,11
Germany,2010,6,13,9
Hungary,Total,4,2,0
Hungary,1932,1,0,0
Hungary,1936,1,0,0
Hungary,1948,0,1,0
Hungary,1952,1,0,0
Hungary,1956,1,0,0
Hungary,1980,0,1,0
Italy,Total,37,32,37
Italy,1948,0,0,1
Italy,1952,1,0,1
Italy,1956,0,2,1
Italy,1960,1,0,0
Italy,1964,3,1,0
Italy,1968,0,0,4
Italy,1972,1,2,2
Italy,1976,1,2,1
Italy,1980,0,2,0
Italy,1984,0,0,2
Italy,1988,2,1,2
Italy,1992,4,6,4
Italy,1994,8,5,7
Italy,1998,2,6,2
Italy,2002,5,4,4
Italy,2006,6,0,5
Italy,2010,3,1,1
Japan,Total,15,13,9
Japan,1956,0,1,0
Japan,1972,1,1,1
Japan,1980,0,1,0
Japan,1984,0,1,0
Japan,1988,1,0,0
Japan,1992,4,2,1
Japan,1994,2,2,1
Japan,1998,4,1,5
